Year,Category,Movie,Winner,Presenter,Date & Venue,Speech,year_standard,category_standard,year_count,link
2011 (84th) Academy Awards,Honorary Award,No title.,"To Dick Smith for his unparalleled mastery of texture, shade, form and illusion.","Linda Blair, J.J. Abrams, Rick Baker","November 12, 2011; The Governors Awards (Grand Ballroom, Hollywood & Highland Center)","Well, I'll read this and then I'll say something that I don't have to read. Ladies and gentlemen, please forgive me, my memory is not very good these days. When I watched the wonderful film they just showed, I kept thinking, gosh, that fellow had a great career. [Laughs.] But I do remember with great fondness everyone at this table and how much they have meant to me in my life. I will never forget tonight. From the bottom of my heart, thank you all.
This had been an incredible joy. One of the greatest I've ever had in my whole life. I have loved being a makeup artist so much, but this kind of puts the crown, a cap, on all of that, all of that. To have so much kindness given to me all in one huge piece is just too much. I am so grateful. Thank you so much. Thank you all. Thank you all.",2011,Honorary Award,2011.26,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1336&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
2011 (84th) Academy Awards,Jean Hersholt Humanitarian Award,No title.,Oprah Winfrey,"Lawrence Gordon, John Travolta, Maria Shriver, Ayanna Hall","November 12, 2011; The Governors Awards (Grand Ballroom, Hollywood & Highland Center)","I didn't prepare a speech because I just wanted to feel whatever this is. Because Maria is so correct, it's very difficult for me to open myself to receive what people have to offer. And so tonight I came prepared to be open, and I would like to thank the Board of Governors for the opportunity to receive the love, and the Oscar. I never imagined myself receiving an Oscar, certainly not for doing what I believe is a part of my calling, is a part of my being. It's a part of why I am here. And what I know for sure is the only reason I am here is because Quincy Jones was in a hotel in Chicago in 1985, and was taking a shower, and was there for a lawsuit, that somebody was suing Michael Jackson saying that they were the girl of the song, or whatever. And he saw me on ""A.M. Chicago"" and said, ""I think that's Sofia."" So I would like to thank Quincy Jones, who is in Dubai right now.
But Quincy Jones was a part of a divine manifestation for me. Those of you, anybody here who's ever watched ""The Oprah Show"" has heard me tell the story of how I first watched, first read The New York Times review on a Sunday about ""The Color Purple."" I read the review, because the book review is the first thing I ever look at on The New York Times. And Stedman and I to this day, it's like, ""You want the book review?"" I go, ""You read the front section. I'll read the book review first."" And I read the book review of ""The Color Purple."" And was in my pajamas, put on my coat, in Baltimore, and went to the bookstore and got the book. And from that moment became, literally, drawn to, in some kind of mystical way, to that story. Mainly because the character... The first line of the book is, ""Dear God, I'm fourteen years old..."" And I had lived that life and couldn't imagine that someone was able to put into words what I had already experienced.
And so began this journey that I was able to really understand that God's hand, or power greater than myself, ""the forces,"" as Sidney Poitier calls them, were engaged in leading my life to a plane and a level that I had not even imagined. But I released myself to those forces, and literally said inside myself, ""Thy will be done."" And as a part of that journey, to be here tonight... Maria touched on it but it is really -- Stedman and I talk about this all the time. It's unimaginable if you are not a black, former colored girl, born in Mississippi in 1954, it's impossible for you to even know what this journey has meant. I know Larry Gordon, Mississippi Jew [laughs], almost as rare as I am [laughs], can begin to understand what that means, to be born in 1954 in Mississippi.
When I saw ""The Help,"" and first heard that there was gonna be a movie called ""The Help,"" and first read the book, ""The Help,"" I thought that is my story. My grandmother was a maid. Her mother was a maid. The mother before her was a slave. My mother was a maid. My grandmother's greatest dream for me was that I would grow up in a family and have a career where... She used to say, ""I hope you get some good white folks. I hope you get some good white folks like I have. I have good white folks."" And the only picture I have of my grandmother is of her holding a white child in her maid's uniform. So, the journey from Kosciusko, Mississippi, where nobody ever even imagined it possible that you could be anything other than a maid who had some good white folks, who would give you clothes and would let you take food home on the holidays. It's unimaginable that I would be standing before you, voted by the Board of Governors... It's unimaginable. It's unimaginable. It's unimaginable. It is unimaginable! And so when I say thank you, the thank you comes from a place deeper than even I know, Sharon [Stone]. Even deeper than I know. Because it's not just from me, it's from everybody who made me possible. It's from every shoulder I ever stood on, every bridge I ever crossed, every story that's ever told, every story that ever imagined this day to be possible.
I thank you for this award. And I will... What this means for me is, I woke up this morning, I said, ""What is Oscar? What is a... Oscar...?"" You know, I grew up wanting to be an actress and my father, being a barber and coming from the culture that he came from, said, ""No daughter of mine's going to be laying on some casting couch."" That was his idea of what being an actress meant. And so when the opportunity showed itself to me, to be a part of ""The Color Purple,"" it really is, was divine intervention, just to be a part of being able to share that story. I knew that something special, magical, a door had opened to me. And after that door came ""The Oprah Winfrey Show"" and many other doors. But a door opened to me through the magic and majesty of film. The ability to tell stories in such a way that you connect to the heart-space of people, and you connect to the place where people really live, and not just live but where their souls abide, that is what great films do. And to this day, ""The Color Purple"" experience is one of the greatest experiences of my life.
And yes, I'd like to do more films, but to receive the Jean Hersholt Humanitarian Award means more to me than any film, any acclaim, even an Oscar. Because what it says is that you all get it. The Board of Governors, you get it. You get that what I've been trying to do and what I've been trying to say all these years is that every single person, Ayanna, and all of you and every person I've spoken to in over fifty thousand interviews of ""The Oprah Winfrey Show,"" every single person who incarnates here to the planet matters. Your life matters. You matter. What you do matters. The fact that you are here, that you are born, that your presence here on earth means something. That's what I've been trying to say through all of my work, be it film, be it ""The Oprah Winfrey Show,"" be it the magazine, it is that we all matter. And what I really, really, really, really know for sure, is that this award to me represents all of you, sitting in a room -- I don't know how this happens. The governors, I don't know who you are. But when I got the call from Tom [Sherak] I was literally on a hike in Hawaii, and I get the call. The Academy has called! Security comes for me and says, ""You must come down from the mountain now! Stop the hike because Tom from the Academy is on the phone."" And then Larry Gordon is saying, ""Answer the phone! Answer the phone!"" And I'm like, whaaat...? Okay! What this really means is that you all understand that what I've been trying to do and what I've tried to say all these years, is that all us can make a difference through the life that we live.
And when you understand, as I do, that this to me, I'm gonna allow this Oscar... Like I've interviewed everybody over the years and say, ""Where do you keep your Oscar?"" And people are always so nonchalant about it and they say: ""Oh my, I keep it in my bathroom."" ""I don't know where mine is."" ""My sister has it."" Well my new sister, my sister who I just discovered last year, this time last year, is here. Pat is here. I will say she will not have it; I will have it! And it will be on, I will keep it on my desk in front of me to remind me that you have voted for me. You have voted for what I believe is the essence of why we're all here. We're all here to help each other. We're all here to use our lives in service to one another. And nobody who has ever, ever done any kind of work... I mean I run a girls school and those girls are gonna be graduating from college. The first in their families to ever graduate from college. The first in their families to ever graduate high school. And those girls are coming to the United States and they're going to Wellesley and they're going to Brown and they're going to Tufts and they're going to all the great universities. And I will tell you that anybody who's ever done that, done any kind of work where you are hands on, where you're up on the phone and you're on at four o'clock in the morning and two in the morning and whatever, you're not doing that because you think you're gonna get an Oscar one day. You're doing it because you believe in the power of every human being who has come to this planet. And you know that these are all bodies, but inside the bodies there's a soul and a spirit and a power greater than we know. And for me this Oscar will represent love from all of you. I thank you for your vote of love and I will use it to increase the open space in my heart to continue to do the great and good work that we've all come to do and serve. Thank you so much.",2011,Honorary Award,2011.27,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1337&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
2012 (85th) Academy Awards,Actor in a Leading Role,Lincoln,Daniel Day-Lewis,Meryl Streep,"February 24, 2013; Dolby Theatre","I really don't know how any of this happened. I do know that I've received so much more than my fair share of good fortune in my life and I'm so grateful to the Academy for this beautiful honor. It's a strange thing because three years ago, before we decided to do a straight swap, I had actually been committed to play Margaret Thatcher... and Meryl was Steven's first choice for Lincoln. And I'd like to see that version. And Steven didn't have to persuade me to play Lincoln but I had to persuade him that perhaps, if I was going to do it, that ""Lincoln"" shouldn't be a musical. My fellow nominees, my equals, my betters, I'm so proud to have been included as one amongst you. When we got married sixteen years ago Ð or since we got married sixteen years ago Ð my wife Rebecca has lived with some very strange men. I mean they were strange as individuals and probably even stranger if taken as a group. But luckily she's the versatile one in the family and she's been the perfect companion to all of them. I'd like to thank Kathy Kennedy, our producer, and through you, Kathy... and through you, our mighty team of co-conspirators. At the apex of that human pyramid there are three men to whom I owe this and a great deal more: Tony Kushner; our beloved skipper Steven Spielberg; and the mysteriously beautiful mind, body and spirit of Abraham Lincoln. For my mother. Thank you so much.",2012,Actor in a Leading Role,2012.1,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1338&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
2012 (85th) Academy Awards,Actor in a Supporting Role,Django Unchained,Christoph Waltz,Octavia Spencer,"February 24, 2013; Dolby Theatre","Thank you. Thank you so much. Mr. De Niro, Mr. Arkin, Mr. Hoffman and Mr. Jones: my respect. My unlimited gratitude goes to ""Dr. King Schultz."" That is, of course, to his creator and the creator of his awe-inspiring world Š—– Quentin Tarantino. And I thank Jamie Foxx and Leo DiCaprio, Sam Jackson and Kerry Washington. I thank Harvey Weinstein and Amy Pascal, Stacey Sher, Reginald Hudlin and Pilar Savone. I thank Adam Schweitzer, Lisa Kasteler. And I thank my friends Jeff Dashnaw and Bill Clark who saved my neck. We participated in a hero's journey Ð the hero here being Quentin. And you scaled the mountain because you're not afraid of it. You slay the dragon because you're not afraid of it. And you cross through fire because it's worth it. I borrowed my character's words. Sorry; couldn't resist. Thank you.
",2012,Actor in a Supporting Role,2012.2,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1339&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
2012 (85th) Academy Awards,Actress in a Leading Role,Silver Linings Playbook,Jennifer Lawrence,Jean Dujardin,"February 24, 2013; Dolby Theatre","Thank you. You guys are just standing up because you feel bad that I fell and that's really embarrassing, but thank you. This is nuts. Thank you to the Academy and thank you to the women this year. You were so magnificent and so inspiring, and not just those of you in my category. And it has been so amazing getting to know you. And you've been so nice and you've made this experience unforgettable. And thank you to the best producing team: Bruce, Donna, Jon. And to my team at CAA and I/D PR. And Bradley, and our entire cast Ð Chris, Jacki, Bob Ð and our crew. And my family. Happy birthday, Emmanuelle. Thank you so much. Thanks.
",2012,Actress in a Leading Role,2012.3,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1340&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
2012 (85th) Academy Awards,Actress in a Supporting Role,Les Mis’©rables,Anne Hathaway,Christopher Plummer,"February 24, 2013; Dolby Theatre","It came true. Thank you so much to the Academy for this and for nominating me with Helen Hunt, Jacki Weaver, Amy Adams and Sally Field. I look up to you all so much and it's just been such an honor. Thank you. There are so many people whose generosity and support is the reason that I'm standing here right now. I must thank Hugh Jackman. Hugh, you're the best. The cast, the crew, especially Simon Hayes and the sound wizards. Congratulations on tonight, you guys. The creative team behind ""Les MisŽrables"": Cameron Mackintosh, Tom Hooper; from Working Title: Eric Fellner, Tim Bevan, Debra Hayward; and from Universal: Ron Meyer, Donna Langley and Adam Fogelson. Thank you, guys, for your faith and thank you for this opportunity.
I have to thank my team, led by the lionhearted Suzan Bymel. Josh Lieberman, Mick Sullivan, Maha DakhilÉ Please say I just said everyone. Josh Lieberman again, just to be safe. Stephen Huvane, Jason Sloane and special contributions by Frank Selvaggi and Kerry Wagner. I want to thank my friends, especially the ones who are cheering from Crosby Street tonight. My family, who I'm so blessed to be a part of. My husband. By far and away, the greatest moment of my life is the one when you walked into it. I love you so much.
And thank you for this. Here's hoping that someday in the not too distant future the misfortunes of ""Fantine"" will only be found in stories and nevermore in real life. Thank you.",2012,Actress in a Supporting Role,2012.4,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1341&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
2012 (85th) Academy Awards,Animated Feature Film,Brave,Mark Andrews and Brenda Chapman,"Paul Rudd, Melissa McCarthy","February 24, 2013; Dolby Theatre","I just happened to be wearing the kilt; I didn't plan any of this. I'd like to thank the Academy for this incredible honor. Making a movie has its own story. I'd like to thank John Lasseter, Ed Catmull, Jim Morris, Andrew Stanton, Pete Docter, Brenda Chapman, Katherine Sarafian for making the making of ""Brave"" an exceptional story. My wife and my four kids: Maeve, Jack, Paden and Ford. I'd like to give a shout-out to my wonderful, strong, beautiful daughter Emma, who inspired ""Brave"" into being. So thank you to her and my husband, and our incredible cast and crew. Thank you.
",2012,Animated Feature Film,2012.5,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1342&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
2012 (85th) Academy Awards,Cinematography,Life of Pi,Claudio Miranda,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Jeremy Renner, Samuel L. Jackson","February 24, 2013; Dolby Theatre","Gee, wow. This movie was quite a beast to make. We did it, and the thing what I had was so much, was so many great... just that everyone just was really, totally there and supportive. I mean, I was really into, you know, Ang and the beautiful world that we... It was like one challenge. When you're a cinematographer and there's like one thing that just kind of... when you just have your eyes and you just kind of go up and up and up and up and up, and you just kind of reach this thing. Then you get really excited. There's exciting scenes for me that I love, like the candles and the things that we did that was nuts. Ah, Jesus... but it was really great. And I'd like to thank everyone that made this thing totally possible. The Academy, Fox... and oh my God I can't even speak. I know, wrap up now, the whole thing. Yeah, but I'd like to thank my wife, my daughter's up there. And... everyone, thank you so much.",2012,Cinematography,2012.6,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1343&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
2012 (85th) Academy Awards,Costume Design,Anna Karenina,Jacqueline Durran,"Jennifer Aniston, Channing Tatum","February 24, 2013; Dolby Theatre","Thank you to the Academy. This is absolutely overwhelming. And I'd like to accept it on behalf of the great team that worked with me on ""Anna Karenina""; a wonderful director, Joe Wright; fantastic producers at Working Title. And my children, for bearing with me. They're completely oblivious to this; they're fast asleep in England. Thank you very much.",2012,Costume Design,2012.7,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1344&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
2012 (85th) Academy Awards,Directing,Life of Pi,Ang Lee,"Jane Fonda, Michael Douglas","February 24, 2013; Dolby Theatre","Thank you. Thank you so much. Thank you, movie god. I really need to share this with all three thousand, everybody worked with me on ""Life of Pi."" I want to thank you forŠ—_ I really want to thank you for believing this story and share this incredible journey with me. I need to thank Yann Martel for writing this incredible, inspiring book. Everyone at Fox, thank you for taking the leap with me, especially Tom Rothman, Jim Gianopulos and Elizabeth Gabler. My producers: Gil Netter, David Womark, David Lee. Wonderful cast. Suraj, where are you? You're a miracle. He's playing the young ""Pi,"" carrying the movie. Every one of you in the cast... I cannot waste this time talking about them... I really... you're the golden statue in my heart. I cannot make this movie without the help of Taiwan. We shot there. I want to thank everybody there helped us, especially the city of Taichung. My Indian crew, I love you. My Canadian crew, I love you. My family in Taiwan. My wife, Jane Lin Ð we'll be married thirty years this summer Ð I love you. My boys, Han and Mason, thank you for your support. Finally, my agent Carin Sage and lawyer[s] Ira Schreck and Joe Dapello Ð I have to do that, especially for this movie. It's great to have your support. Thank you, Academy. Xie xie. Namaste.
",2012,Directing,2012.8,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1345&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
2012 (85th) Academy Awards,Documentary (Feature),Searching for Sugar Man,Malik Bendjelloul and Simon Chinn,Ben Affleck,"February 24, 2013; Dolby Theatre","Oh boy! Thank you so much. Thanks to the Academy. Very, very kind. Thanks to one of the greatest singers ever, Rodriguez. Stephen ""Sugar"" Segerman, Craig Bartholomew, Camilla Skagerstr’_m, SVT, SFI. All my friends and family. And Sony Classics, the best distributor on this planet. Thank you. I also want to thank Sony Classics, Tom and Michael. I want to thank John Battsek, Andrew Ruhemann and the team at Passion Pictures, Josh Braun at Submarine. And my dear wife Lara, without whom I wouldn't be able to do any of this. Rodriguez isn't here tonight because he didn't want to take any of the credit himself, and that [music begins to play] just about says everything about that man and his story that you'd want to know. Thank you.
",2012,Documentary (Feature),2012.9,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1346&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
2012 (85th) Academy Awards,Documentary (Short Subject),Inocente,Sean Fine and Andrea Nix Fine (accompanied on stage by editor Jeff Consiglio and film subject Inocente),"Kerry Washington, Jamie Foxx","February 24, 2013; Dolby Theatre","Thank you so much for this. We just want to thank, quickly, our amazing producer, Albie Hecht, who went the distance with us. And Susan and Yael and Ryan, and Jeff Consiglio, our incredible editor who's with us on all our, like, artistic exploits. And most of all, we want to thank this young lady who was homeless just a year ago. And now she's standing in front of all of you. And she's an artist and all of you are artists, and we feel like we need to start supporting the arts. They're dying in our communities. And all of us artists, we need to stand up and help girls like her be seen and heard. It's so important. Thank you.
",2012,Documentary (Short Subject),2012.1,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1347&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
2012 (85th) Academy Awards,Film Editing,Argo,William Goldenberg,Sandra Bullock,"February 24, 2013; Dolby Theatre","Thank you, guys. Thank you all so much. Thank you, members of the Academy, for honoring ""Argo"" with this award. I really, really appreciate it. I want to thank my great crew: Brett, Joe and Paula. I want to thank Warner Bros. And I want to thank our great producers, George Clooney and Grant Heslov. And Chris Terrio, for writing an editor's dream for a screenplay. And Ben, I share this with you. You're my brother, I love you. And thank you for this. My wife Allison and my great children, Nathan and Erin, thank you so much. You made this all possible. Thanks, everybody. Thank you. Good night.",2012,Film Editing,2012.11,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1348&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
2012 (85th) Academy Awards,Foreign Language Film,Amour,Austria (accepted by director Michael Haneke),"Jennifer Garner, Jessica Chastain","February 24, 2013; Dolby Theatre","Thank you very much for this honor. I have to thank Michael Barker, Tom Bernard from Sony Classics, thank you very much. Thank you to my producers. They are here, all: Margaret Menegoz, Michael Katz, Veit Heiduschka, Stefan Arndt. Thank you to my great crew. Thank you to my wife, she was member of the crew. She's supporting me since thirty years. You are the center of my life. And thank you, above all, to my both main actors, Emmanuelle Riva et Jean-Louis Trintignant, because without them I will not stay here. Thank you.",2012,Foreign Language Film,2012.12,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1349&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
2012 (85th) Academy Awards,Makeup and Hairstyling,Les Mis’©rables,Lisa Westcott and Julie Dartnell,"Jennifer Aniston, Channing Tatum","February 24, 2013; Dolby Theatre","Whoa. Thank you so much, the Academy. I don't know, it's quite overwhelming. I must pay a huge tribute to the team who worked so incredibly hard and were so talented, and I feel that I only own a little bit of this and the rest goes to them. Thank you very much. Thank you very much. It's an incredible honor. Thank you so much. And I just want to give love to my family: my mum, my dad, Tom, Holly and Dave. Thank you.
",2012,Makeup,2012.13,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1350&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
2012 (85th) Academy Awards,Music (Original Score),Life of Pi,Mychael Danna,"Ren’©e Zellweger, Richard Gere, Queen Latifah, Catherine Zeta-Jones","February 24, 2013; Dolby Theatre","I share this wondrous award with our visionary captain, Mr. Ang Lee. There he is Š—– we're playing this game again. Who guided a truly global cast and crew in the telling of this wondrous, beautiful story that transcends culture and race and religion. In the same spirit, musicians from around the globe came together to breathe life into this music and I hold this award on their behalf. I want to thank my beautiful Fox family. My mom, who's in a balcony here watching. My father, who's also watching. And most of all, my wife Aparna and our two beautiful boys, Arjun and Keshav, who remind me every day why stories like this need to be told. Thank you, everyone. Thank you, Academy. Thank you.",2012,Music (Original Score),2012.14,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1351&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
2012 (85th) Academy Awards,Music (Original Song),Skyfall,Music and Lyric by Adele Adkins and Paul Epworth,"Ren’©e Zellweger, Richard Gere, Queen Latifah, Catherine Zeta-Jones","February 24, 2013; Dolby Theatre","Thank you so much. Thank you. This is amazing. I'd just like to thank Barbara Broccoli and Michael Wilson at Eon Productions. Sony Pictures, MGM, Paul Epworth, who Š—–  oh God... for believing in me all the time. And my man; I love you, baby. Thanks very much. I can't really believe I'm up here to receive this. Got to thank the Academy, of course. Alison Hook at EMI, Sam Mendes, Barbara Broccoli, Michael Wilson, Liv Olach*, Neale, Rich and Laura, Empire... who else? Jonathan Rose. I thank my wife Danielle, my daughter VivienneÉ I'd like to thank Joe and Matt, who worked on this with us. They spent hours and hours, late nights in the studio with us to make this piece of music. And most of all I'd like to thank Adele for being the best person I've ever worked with. She's absolutely amazing.
You're all amazing.
",2012,Music (Original Song),2012.15,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1352&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
